scope,target,generator,score,n,spearman_rho,p
per_target_per_gen,abl1,DiffSBDD,rtmscore_score,1747,0.4320667916235487,2.2216307930626735e-80
per_target_per_gen,abl1,DiffSBDD,ra_score,1747,0.2691674213899992,2.234610290493527e-30
per_target_per_gen,abl1,PocketXMol,rtmscore_score,2046,-0.1287680296957025,5.055951727874746e-09
per_target_per_gen,abl1,PocketXMol,ra_score,2046,-0.06897609251338965,0.0017975581559302853
per_target_per_gen,abl1,PocketXMolAR,rtmscore_score,2207,0.035617872201056756,0.09435391191935241
per_target_per_gen,abl1,PocketXMolAR,ra_score,2207,0.06662969906199812,0.0017368777076708305
per_target_per_gen,bcl2,DiffSBDD,rtmscore_score,1895,0.4391516237545657,3.5467030837241697e-90
per_target_per_gen,bcl2,DiffSBDD,ra_score,1895,0.0516839560620505,0.024455015701574892
per_target_per_gen,bcl2,PocketXMol,rtmscore_score,1972,-0.06301412682627419,0.005121523557262692
per_target_per_gen,bcl2,PocketXMol,ra_score,1972,-0.0954030761780306,2.199818622832213e-05
per_target_per_gen,bcl2,PocketXMolAR,rtmscore_score,2133,-0.03296764087461136,0.12798093273698066
per_target_per_gen,bcl2,PocketXMolAR,ra_score,2133,-0.0483526454136941,0.02553999672759752
per_target_per_gen,brd4_bd1,DiffSBDD,rtmscore_score,1407,0.6152825893767744,2.4840924900931626e-147
per_target_per_gen,brd4_bd1,DiffSBDD,ra_score,1407,0.006773992676056538,0.7995963499639633
per_target_per_gen,brd4_bd1,PocketXMol,rtmscore_score,1518,-0.0034393983490560555,0.8934862415131581
per_target_per_gen,brd4_bd1,PocketXMol,ra_score,1518,0.03128222063673402,0.2231871348084857
per_target_per_gen,brd4_bd1,PocketXMolAR,rtmscore_score,1587,-0.09305220153532612,0.0002055697599761539
per_target_per_gen,brd4_bd1,PocketXMolAR,ra_score,1587,0.017269095787131948,0.49179221889267927
per_target_per_gen,btk,DiffSBDD,rtmscore_score,2118,0.4482877801089854,3.1852635096351908e-105
per_target_per_gen,btk,DiffSBDD,ra_score,2118,-0.0010504293187816815,0.9614659545807369
per_target_per_gen,btk,PocketXMol,rtmscore_score,2020,-0.2571828758948074,7.06458161139622e-32
per_target_per_gen,btk,PocketXMol,ra_score,2020,0.295885403639002,4.245458368434238e-42
per_target_per_gen,btk,PocketXMolAR,rtmscore_score,1862,-0.08561938304847674,0.00021656495782350975
per_target_per_gen,btk,PocketXMolAR,ra_score,1862,0.1612095934484337,2.6060265990917682e-12
per_target_per_gen,cdk2,DiffSBDD,rtmscore_score,1740,0.14575954998555915,1.0063930877769705e-09
per_target_per_gen,cdk2,DiffSBDD,ra_score,1740,0.33536290758004095,5.323346123619975e-47
per_target_per_gen,cdk2,PocketXMol,rtmscore_score,2083,-0.05389677319618566,0.013887713852006349
per_target_per_gen,cdk2,PocketXMol,ra_score,2083,-0.06356627735402424,0.003703718800243721
per_target_per_gen,cdk2,PocketXMolAR,rtmscore_score,2177,-0.028234397834408335,0.1878802496179803
per_target_per_gen,cdk2,PocketXMolAR,ra_score,2177,-0.0718357057982585,0.0007961118542407324
per_target_per_gen,crbn,DiffSBDD,rtmscore_score,1907,0.33683369608387015,8.257550190225642e-52
per_target_per_gen,crbn,DiffSBDD,ra_score,1907,0.06730049166078288,0.0032782432286017874
per_target_per_gen,crbn,PocketXMol,rtmscore_score,1996,-0.06651760013312269,0.002947000105771712
per_target_per_gen,crbn,PocketXMol,ra_score,1996,-0.17627758974812283,2.1434835246652804e-15
per_target_per_gen,crbn,PocketXMolAR,rtmscore_score,2097,-0.0405947844498642,0.06308170330272787
per_target_per_gen,crbn,PocketXMolAR,ra_score,2097,-0.1478729227555459,1.0108394719906483e-11
per_target_per_gen,ggct,DiffSBDD,rtmscore_score,1883,0.3986031208464026,9.765305516366243e-73
per_target_per_gen,ggct,DiffSBDD,ra_score,1883,0.08760128703989717,0.00014116094799675064
per_target_per_gen,ggct,PocketXMol,rtmscore_score,2014,-0.19517967906629108,9.666740709094482e-19
per_target_per_gen,ggct,PocketXMol,ra_score,2014,-0.10800255253395712,1.1851548411276355e-06
per_target_per_gen,ggct,PocketXMolAR,rtmscore_score,2103,-0.15636935310353714,5.55436425021992e-13
per_target_per_gen,ggct,PocketXMolAR,ra_score,2103,-0.084287000769923,0.00010889644150230582
per_target_per_gen,kras,DiffSBDD,rtmscore_score,1408,0.5745266954533245,1.8266043848077326e-124
per_target_per_gen,kras,DiffSBDD,ra_score,1408,0.030158651805353744,0.2580950418590885
per_target_per_gen,kras,PocketXMol,rtmscore_score,1542,0.20469797701764111,4.749903775312769e-16
per_target_per_gen,kras,PocketXMol,ra_score,1542,0.17624035510216354,3.1768411607873737e-12
per_target_per_gen,kras,PocketXMolAR,rtmscore_score,1607,0.06651548060843715,0.007646056698136855
per_target_per_gen,kras,PocketXMolAR,ra_score,1607,0.20233790520736897,2.6178870059631756e-16
per_target_per_gen,mdm2,DiffSBDD,rtmscore_score,796,0.29845329309033697,7.69707443899492e-18
per_target_per_gen,mdm2,DiffSBDD,ra_score,796,0.14811639463938153,2.7230311495546135e-05
per_target_per_gen,mdm2,PocketXMol,rtmscore_score,821,-0.00038364261556937326,0.9912427533200572
per_target_per_gen,mdm2,PocketXMol,ra_score,821,-0.04043718781556017,0.24712581624331778
per_target_per_gen,mdm2,PocketXMolAR,rtmscore_score,875,-0.0327684248324091,0.33295575242352443
per_target_per_gen,mdm2,PocketXMolAR,ra_score,875,-0.07849528021489698,0.020222905102958873
per_target_per_gen,stk33,DiffSBDD,rtmscore_score,1791,0.22573098090214258,3.988782654704261e-22
per_target_per_gen,stk33,DiffSBDD,ra_score,1791,0.31335537725495743,4.2370267291268745e-42
per_target_per_gen,stk33,PocketXMol,rtmscore_score,2051,-0.05492298056051872,0.012856794810534946
per_target_per_gen,stk33,PocketXMol,ra_score,2051,-0.02221528960154526,0.3146099165984902
per_target_per_gen,stk33,PocketXMolAR,rtmscore_score,2158,-0.029215406807458846,0.1748816755127223
per_target_per_gen,stk33,PocketXMolAR,ra_score,2158,-0.013406844902814451,0.5336312655339739
per_target_per_gen,vhl,DiffSBDD,rtmscore_score,1828,0.4080641547756204,2.7431973154428056e-74
per_target_per_gen,vhl,DiffSBDD,ra_score,1828,0.07311998411130874,0.0017581874101638326
per_target_per_gen,vhl,PocketXMol,rtmscore_score,2018,-0.1595979836766516,5.541544934555461e-13
per_target_per_gen,vhl,PocketXMol,ra_score,2018,0.020757918177761483,0.3513297767625846
per_target_per_gen,vhl,PocketXMolAR,rtmscore_score,2154,-0.04372531267790894,0.04244434265195489
per_target_per_gen,vhl,PocketXMolAR,ra_score,2154,0.012810501533797274,0.5523582351413105
pooled_per_gen,ALL,DiffSBDD,rtmscore_score,18520,0.4022972767335838,0.0
pooled_per_gen,ALL,DiffSBDD,ra_score,18520,0.1465731811239315,1.8652653667286765e-89
pooled_per_gen,ALL,PocketXMol,rtmscore_score,20081,-0.09779867719038221,7.157795629053577e-44
pooled_per_gen,ALL,PocketXMol,ra_score,20081,-0.02034153176968568,0.003943261911358458
pooled_per_gen,ALL,PocketXMolAR,rtmscore_score,20960,-0.08959280454431313,1.2852868655114943e-38
pooled_per_gen,ALL,PocketXMolAR,ra_score,20960,-0.04882000462311814,1.5299749777750383e-12
pooled_all,ALL,ALL,rtmscore_score,59561,0.17964041991349122,0.0
pooled_all,ALL,ALL,ra_score,59561,0.06103702962881616,2.848128929006468e-50
