target,gen_a,gen_b,jaccard,n_a,n_b,n_intersect,top_k,key
abl1,DiffSBDD,PocketXMol,0.0,98,175,0,499,scaffold
abl1,DiffSBDD,PocketXMolAR,0.0,98,221,0,499,scaffold
abl1,PocketXMol,PocketXMolAR,0.002531645569620253,175,221,1,499,scaffold
bcl2,DiffSBDD,PocketXMol,0.0,214,96,0,492,scaffold
bcl2,DiffSBDD,PocketXMolAR,0.0,214,181,0,492,scaffold
bcl2,PocketXMol,PocketXMolAR,0.0,96,181,0,492,scaffold
brd4_bd1,DiffSBDD,PocketXMol,0.0,24,119,0,216,scaffold
brd4_bd1,DiffSBDD,PocketXMolAR,0.0,24,72,0,216,scaffold
brd4_bd1,PocketXMol,PocketXMolAR,0.005263157894736842,119,72,1,216,scaffold
btk,DiffSBDD,PocketXMol,0.0,96,110,0,413,scaffold
btk,DiffSBDD,PocketXMolAR,0.0,96,139,0,413,scaffold
btk,PocketXMol,PocketXMolAR,0.046218487394957986,110,139,11,413,scaffold
cdk2,DiffSBDD,PocketXMol,0.0,38,192,0,484,scaffold
cdk2,DiffSBDD,PocketXMolAR,0.0,38,254,0,484,scaffold
cdk2,PocketXMol,PocketXMolAR,0.0045045045045045045,192,254,2,484,scaffold
crbn,DiffSBDD,PocketXMol,0.0,105,204,0,495,scaffold
crbn,DiffSBDD,PocketXMolAR,0.0,105,186,0,495,scaffold
crbn,PocketXMol,PocketXMolAR,0.0,204,186,0,495,scaffold
ggct,DiffSBDD,PocketXMol,0.0,185,173,0,506,scaffold
ggct,DiffSBDD,PocketXMolAR,0.0,185,137,0,506,scaffold
ggct,PocketXMol,PocketXMolAR,0.0,173,137,0,506,scaffold
kras,DiffSBDD,PocketXMol,0.0,18,125,0,218,scaffold
kras,DiffSBDD,PocketXMolAR,0.0,18,75,0,218,scaffold
kras,PocketXMol,PocketXMolAR,0.0,125,75,0,218,scaffold
mdm2,DiffSBDD,PocketXMol,0.0,35,23,0,122,scaffold
mdm2,DiffSBDD,PocketXMolAR,0.0,35,64,0,122,scaffold
mdm2,PocketXMol,PocketXMolAR,0.0,23,64,0,122,scaffold
stk33,DiffSBDD,PocketXMol,0.0,182,106,0,386,scaffold
stk33,DiffSBDD,PocketXMolAR,0.0,182,97,0,386,scaffold
stk33,PocketXMol,PocketXMolAR,0.0,106,97,0,386,scaffold
vhl,DiffSBDD,PocketXMol,0.003816793893129771,52,211,1,489,scaffold
vhl,DiffSBDD,PocketXMolAR,0.0,52,189,0,489,scaffold
vhl,PocketXMol,PocketXMolAR,0.028277634961439587,211,189,11,489,scaffold
